TABLE NO.  2
 NUM         EPRED       IPRED       NPDE        EWRES       DV          PRED        RES         WRES
  1.9300E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9400E+02  1.6149E+02  1.0827E+02  1.3409E-01 -1.0558E-01  1.1940E+02  1.6369E+02 -4.4290E+01 -9.7482E-02
  1.9500E+02  2.3282E+02  1.5984E+02 -1.3205E+00 -1.1971E+00  1.1829E+02  2.4403E+02 -1.2574E+02 -1.2897E+00
  1.9600E+02  2.4995E+02  1.7227E+02 -4.7704E-01 -3.4526E-01  1.7144E+02  2.6314E+02 -9.1700E+01 -4.7401E-01
  1.9700E+02  2.5809E+02  1.7841E+02 -1.0222E+00 -8.9407E-01  1.4903E+02  2.7045E+02 -1.2142E+02 -9.4475E-01
  1.9800E+02  2.4607E+02  1.7172E+02 -9.0273E-01 -8.0731E-01  1.4938E+02  2.5407E+02 -1.0469E+02 -7.8785E-01
  1.9900E+02  2.2604E+02  1.6073E+02  6.2293E-01  6.0747E-01  2.0681E+02  2.3049E+02 -2.3682E+01  6.2871E-01
  2.0000E+02  2.0540E+02  1.4976E+02 -1.0364E+00 -1.0970E+00  1.1865E+02  2.0780E+02 -8.9151E+01 -1.0197E+00
  2.0100E+02  1.8416E+02  1.3853E+02  6.1281E-01  5.4908E-01  1.7253E+02  1.8546E+02 -1.2929E+01  6.0126E-01
  2.0200E+02  1.4994E+02  1.1983E+02 -3.6738E-01 -3.7922E-01  1.1673E+02  1.5066E+02 -3.3931E+01 -3.4962E-01
  2.0300E+02  1.0843E+02  9.4124E+01 -2.9674E-01 -3.7600E-01  8.9032E+01  1.0887E+02 -1.9835E+01 -4.0096E-01
  2.0400E+02  7.2433E+01  6.5585E+01  6.7449E-01  7.2642E-01  7.6325E+01  7.2140E+01  4.1852E+00  7.2731E-01
  2.0500E+02  6.3709E+01  5.7318E+01 -1.2628E+00 -1.1932E+00  4.0937E+01  6.3332E+01 -2.2395E+01 -1.1728E+00
  2.0600E+02  3.9021E+01  3.3852E+01  7.4987E-01  6.1624E-01  3.8318E+01  3.8735E+01 -4.1710E-01  6.8633E-01
  2.0700E+02  2.5698E+01  2.1948E+01  3.7634E-01  2.7223E-01  2.3145E+01  2.5086E+01 -1.9406E+00  3.9795E-01
  2.0900E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
